Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Choice_7;Choice_8;Choice_9
;;;;;;;;
;;;;;;;;
;;;;;;;;
Анализ текстов;;;;;;;;
Машинное обучение;Визуализация данных;Электронные таблицы;Методы искусственного интеллекта;;;;;
Анализ текстов;Методы искусственного интеллекта;Статистика;Python;Машинное обучение;Big Data;Визуализация данных;;
Big Data;Машинное обучение;Анализ текстов;Визуализация данных;;;;;
Электронные таблицы;Big Data;Визуализация данных;Машинное обучение;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Python;Статистика
Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Электронные таблицы;Визуализация данных;Big Data;;;
Визуализация данных;Электронные таблицы;Big Data;Статистика;Анализ текстов;;;;
Визуализация данных;;;;;;;;
Статистика;Python;Визуализация данных;Электронные таблицы;Обработка изображений;;;;
Анализ текстов;Визуализация данных;Big Data;Машинное обучение;Python;Статистика;Методы искусственного интеллекта;Электронные таблицы;
Обработка изображений;Визуализация данных;Статистика;;;;;;
Статистика;Электронные таблицы;Визуализация данных;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;;;
Ничего из перечисленного;;;;;;;;
Машинное обучение;;;;;;;;
Статистика;Машинное обучение;Python;Анализ текстов;Электронные таблицы;Big Data;;;
Python;Машинное обучение;Big Data;;;;;;
Статистика;Визуализация данных;Python;Электронные таблицы;Анализ текстов;;;;
Big Data;Визуализация данных;;;;;;;
Машинное обучение;Python;Визуализация данных;Электронные таблицы;Big Data;Методы искусственного интеллекта;Обработка изображений;Анализ текстов;Статистика
Машинное обучение;Big Data;;;;;;;
Методы искусственного интеллекта;Python;Машинное обучение;Визуализация данных;;;;;
;;;;;;;;
Электронные таблицы;Python;Визуализация данных;Статистика;;;;;
Машинное обучение;Визуализация данных;Электронные таблицы;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Big Data
Обработка изображений;Методы искусственного интеллекта;Статистика;Python;Визуализация данных;Электронные таблицы;Анализ текстов;;
Анализ текстов;Электронные таблицы;Обработка изображений;Визуализация данных;;;;;
;;;;;;;;
Анализ текстов;Машинное обучение;Big Data;Python;Электронные таблицы;Визуализация данных;Статистика;Методы искусственного интеллекта;Обработка изображений
Статистика;Python;Машинное обучение;Анализ текстов;Обработка изображений;Методы искусственного интеллекта;;;
Методы искусственного интеллекта;Машинное обучение;Python;Электронные таблицы;Big Data;Статистика;;;
Визуализация данных;Big Data;;;;;;;
Визуализация данных;Big Data;Машинное обучение;Python;;;;;
Визуализация данных;Электронные таблицы;Методы искусственного интеллекта;Статистика;;;;;
Визуализация данных;Python;Машинное обучение;Big Data;;;;;
Статистика;Визуализация данных;;;;;;;
Python;Методы искусственного интеллекта;Анализ текстов;Big Data;Электронные таблицы;Визуализация данных;;;
;;;;;;;;
Статистика;Электронные таблицы;Визуализация данных;;;;;;
;;;;;;;;
Big Data;Визуализация данных;Машинное обучение;;;;;;
Big Data;Методы искусственного интеллекта;Машинное обучение;Python;Визуализация данных;;;;
;;;;;;;;
Методы искусственного интеллекта;Статистика;Визуализация данных;;;;;;
Электронные таблицы;Обработка изображений;Визуализация данных;;;;;;
