ID,DISTANCE,STOP_COUNT,COST,FITNESS,INTERNET
1,4,1,48000,23,3
2,14,2,25000,24,1
3,24,1,45000,8,2
4,22,1,25000,16,1
5,7,11,54000,29,4
6,5,8,28000,29,0
7,4,5,26000,26,1
8,26,11,25000,22,2
9,28,8,27000,23,4
10,19,12,23000,12,4
11,13,2,21000,11,3
12,4,3,40000,11,4
13,16,5,26000,8,2
14,23,6,25000,20,2
15,6,6,46000,18,3
16,4,4,33000,5,4
17,10,5,31000,28,1
18,21,12,55000,21,0
19,16,11,48000,18,2
20,16,11,54000,23,3
21,18,9,30000,27,1
22,4,3,35000,25,0
23,11,1,25000,20,1
24,21,7,56000,5,2
25,14,4,22000,27,2
26,6,10,47000,8,1
27,22,6,49000,15,4
28,17,5,33000,29,2
29,17,10,44000,7,1
30,15,7,22000,26,0
31,23,8,43000,28,4
32,18,11,40000,13,4
33,7,3,32000,6,0
34,13,9,35000,18,4
35,22,11,37000,16,3
36,7,5,41000,15,4
37,26,9,34000,29,0
38,8,1,29000,25,1
39,6,6,55000,17,2
40,26,8,22000,7,0
41,7,8,23000,26,1
42,28,10,54000,5,0
43,21,6,24000,7,4
44,6,8,50000,14,1
45,24,7,31000,15,0
46,16,8,57000,9,4
47,12,5,34000,29,4
48,10,10,38000,28,1
49,15,5,44000,4,4
50,4,6,51000,8,3
51,13,1,34000,4,2
52,23,10,29000,9,2
53,14,5,26000,29,1
54,24,11,56000,5,4
55,10,8,57000,15,1
56,23,6,51000,14,1
57,17,7,23000,20,4
58,9,10,53000,17,4
59,21,6,24000,5,2
60,9,2,59000,28,0
61,24,5,48000,10,2
62,3,12,42000,15,4
63,14,1,22000,5,3
64,14,11,38000,9,3
65,24,12,31000,13,3
66,3,3,48000,25,3
67,8,6,37000,22,2
68,29,1,39000,24,2
69,22,5,41000,7,0
70,6,10,58000,6,4
71,18,2,51000,16,3
72,9,4,21000,26,1
73,8,5,59000,27,2
74,5,1,33000,21,3
75,24,6,25000,6,3
76,9,10,59000,28,1
77,10,7,41000,17,0
78,4,2,51000,16,1
79,18,12,23000,25,4
80,4,11,56000,10,0
81,14,1,35000,3,1
82,26,3,59000,4,1
83,7,5,44000,6,4
84,13,6,45000,20,3
85,28,6,43000,22,1
86,15,3,38000,19,1
87,22,11,34000,5,0
88,3,11,51000,10,0
89,22,11,47000,28,2
90,15,9,39000,9,0
91,27,4,53000,20,2
92,18,7,27000,19,3
93,18,7,48000,8,0
94,13,10,23000,23,0
95,16,7,29000,25,0
96,4,1,33000,10,0
97,25,3,45000,6,1
98,17,9,29000,16,1
99,6,10,33000,22,2
100,9,9,52000,20,0
101,18,7,55000,25,1
102,27,11,25000,3,0
103,5,10,58000,3,2
104,18,12,29000,17,1
105,24,11,42000,5,1
106,28,8,50000,22,3
107,7,9,44000,11,0
108,3,12,35000,23,2
109,6,2,38000,23,3
110,5,5,26000,7,0
111,21,11,46000,29,0
112,8,5,58000,20,0
113,24,7,41000,22,4
114,27,10,52000,17,2
115,3,8,20000,19,0
116,18,2,36000,17,0
117,7,10,28000,17,4
118,11,9,27000,11,1
119,15,7,26000,4,0
120,26,1,42000,14,4
121,15,4,28000,18,3
122,21,1,25000,12,2
123,20,10,26000,27,1
124,28,9,34000,26,3
125,16,2,35000,9,4
126,15,2,54000,27,2
127,23,10,47000,17,0
128,16,2,42000,20,3
129,27,9,53000,3,1
130,22,8,43000,29,4
131,26,3,41000,29,3
132,12,11,27000,14,1
133,22,3,51000,18,2
134,29,2,22000,24,4
135,8,9,37000,24,1
136,23,11,37000,8,2
137,14,10,54000,13,1
138,13,1,32000,9,0
139,23,2,52000,23,1
140,17,1,56000,17,4
141,4,3,23000,4,1
142,25,12,24000,24,3
143,5,7,32000,15,2
144,23,11,48000,14,3
145,4,12,35000,27,3
146,28,8,37000,4,3
147,21,10,45000,27,2
148,28,10,54000,26,1
149,20,12,21000,7,1
150,9,5,26000,29,2
151,28,11,34000,8,3
152,16,3,50000,7,3
153,20,3,28000,6,0
154,22,2,33000,3,0
155,5,7,43000,8,1
156,9,9,57000,6,4
157,15,6,37000,16,4
158,21,5,38000,10,1
159,22,6,34000,9,1
160,8,10,59000,14,2
161,7,12,41000,23,2
162,25,6,26000,13,0
163,21,1,39000,24,4
164,8,10,49000,9,0
165,18,12,54000,18,0
166,4,1,57000,25,0
167,26,11,48000,29,1
168,8,6,38000,10,1
169,28,12,54000,6,3
170,4,11,28000,6,0
171,28,10,39000,14,1
172,5,10,33000,15,1
173,15,4,47000,27,0
174,26,7,36000,20,3
175,8,12,48000,3,4
176,19,4,50000,4,0
177,13,11,26000,17,1
178,25,1,22000,9,2
179,12,3,38000,6,0
180,22,9,33000,25,1
181,24,3,37000,9,1
182,16,9,26000,14,1
183,4,8,45000,9,4
184,15,1,44000,8,0
185,10,11,32000,11,0
186,9,8,29000,24,1
187,7,2,53000,21,1
188,14,9,58000,26,0
189,24,1,38000,25,1
190,16,11,56000,5,2
191,20,12,38000,25,1
192,10,12,41000,4,4
193,5,5,49000,3,3
194,26,2,37000,15,3
195,19,7,45000,9,3
196,13,7,23000,7,4
197,22,5,40000,4,1
198,4,8,24000,20,1
199,27,5,41000,25,2
200,11,10,45000,24,4
